Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr,mass
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,472,29.4,11.3,523,10,5.7,979,6.9,2.2,340,22.9,12.2,605,1.9,2.4,167,5.5456846,5.03381,7.2668193,7.7187134,5.675311,7.6889641,9.861497,6.2540451,2.0740313,8.0019874,11.0621572,15.0693409,5869,1783.890578
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,485,29.6,11.5,519,9.8,6,658,5.3,1.7,339,25.7,13.5,615,2.7,6.8,156,21.310161,8.3977949,10.3030232,11.0219414,6.4450585,6.3867191,8.1385761,8.0137185,1.9757133,10.984782,12.0662746,24.099349,7194,1883.246073
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,476,26.5,11.9,562,7.4,4.3,645,5.9,2.2,342,25.3,10,600,3,5.7,163,6.1537186,6.1211769,10.2266657,4.960116,6.4511606,5.3941154,9.0547438,6.8399934,2.1471412,7.2188901,12.7393999,19.2802533,5379,1438.235294
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,547,30.2,10,728,2.9,3,503,11.8,2.4,288,24,11.7,613,3.3,6.9,150,2.2536208,1.7046389,1.9628413,1.9721137,2.1744348,2.6111624,2.6420892,1.5218231,2.345596,4.3513025,3.5915181,5.9555072,2501,1471.176471
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
